6.41	14.0723	19.5489	24.6883	31.4246	39.8575	48.8708	56.5337	60.7389
6.51	14.3136	19.864	24.9662	31.6506	40.0744	49.1587	56.9871	61.4237
6.61	14.5557	20.1832	25.2484	31.8792	40.2899	49.4398	57.4278	62.0924
6.71	14.7988	20.5065	25.535	32.1103	40.5043	49.7144	57.8563	62.7453
6.81	15.0425	20.834	25.826	32.3441	40.718	49.9831	58.273	63.3828
6.91	15.287	21.1654	26.1213	32.5807	40.931	50.2463	58.6786	64.0053
7.01	15.5321	21.5009	26.421	32.8201	41.1437	50.5041	59.0734	64.6132
7.11	15.7777	21.8403	26.7251	33.0625	41.3562	50.7572	59.4578	65.2067
7.21	16.0238	22.1836	27.0336	33.3078	41.5687	51.0057	59.8324	65.7863
7.31	16.2703	22.5307	27.3464	33.5562	41.7814	51.2499	60.1975	66.3523
7.41	16.5171	22.8817	27.6635	33.8077	41.9945	51.4903	60.5535	66.9051
7.51	16.7643	23.2364	27.985	34.0624	42.2081	51.7271	60.9009	67.445
7.61	17.0116	23.5948	28.3108	34.3203	42.4223	51.9605	61.2399	67.9724
7.71	17.2591	23.9569	28.641	34.5815	42.6373	52.1908	61.571	68.4876
7.81	17.5067	24.3227	28.9754	34.8459	42.8533	52.4183	61.8945	68.991
7.91	17.7543	24.6921	29.3141	35.1136	43.0703	52.6432	62.2108	69.4829
8.01	18.0019	25.065	29.6571	35.3847	43.2884	52.8657	62.5201	69.9636
8.11	18.2493	25.4414	30.0043	35.6591	43.5077	53.0861	62.8229	70.4335
8.21	18.4967	25.8213	30.3557	35.937	43.7284	53.3044	63.1193	70.8928
8.31	18.7438	26.2046	30.7113	36.2183	43.9506	53.521	63.4096	71.342
8.41	18.9907	26.5913	31.0712	36.503	44.1743	53.7361	63.6943	71.7812
8.51	19.2373	26.9814	31.4352	36.7912	44.3995	53.9497	63.9734	72.2109
8.61	19.4835	27.3748	31.8034	37.0828	44.6265	54.162	64.2474	72.6312
8.71	19.7293	27.7715	32.1757	37.3779	44.8552	54.3733	64.5164	73.0424
8.81	19.9747	28.1714	32.5521	37.6766	45.0857	54.5836	64.7806	73.445
8.91	20.2195	28.5745	32.9326	37.9787	45.318	54.7931	65.0403	73.839
9.01	20.4637	28.9808	33.3172	38.2843	45.5523	55.0019	65.2958	74.2249
9.11	20.7073	29.3902	33.7059	38.5935	45.7886	55.2101	65.5472	74.6027
9.21	20.9503	29.8028	34.0986	38.9062	46.0269	55.418	65.7947	74.9729
9.31	21.1925	30.2184	34.4953	39.2224	46.2673	55.6255	66.0386	75.3356
9.41	21.434	30.637	34.896	39.5421	46.5099	55.8329	66.279	75.6911
9.51	21.6746	31.0586	35.3007	39.8654	46.7546	56.0401	66.5161	76.0397
9.61	21.9144	31.4832	35.7093	40.1922	47.0015	56.2474	66.7501	76.3814
9.71	22.1533	31.9108	36.1219	40.5225	47.2506	56.4547	66.9811	76.7167
9.81	22.3913	32.3412	36.5384	40.8564	47.502	56.6623	67.2094	77.0456
9.91	22.6282	32.7745	36.9588	41.1938	47.7558	56.8701	67.435	77.3684
