Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 7.3249e-37
2.00e+02	 1.4209e-36
5.00e+02	 3.4157e-36
1.00e+03	 6.5871e-36
2.00e+03	 1.2506e-35
5.00e+03	 2.7930e-35
1.00e+04	 4.8868e-35
2.00e+04	 8.1393e-35
5.00e+04	 1.4843e-34
1.00e+05	 2.2306e-34
2.00e+05	 3.2454e-34
5.00e+05	 5.1062e-34
1.00e+06	 6.9749e-34
2.00e+06	 9.2688e-34
5.00e+06	 1.2936e-33
1.00e+07	 1.6221e-33
2.00e+07	 1.9992e-33
5.00e+07	 2.5899e-33
1.00e+08	 3.1161e-33
2.00e+08	 3.7264e-33
5.00e+08	 4.6872e-33
1.00e+09	 5.5537e-33
2.00e+09	 6.5397e-33
5.00e+09	 8.0240e-33
1.00e+10	 9.3344e-33
2.00e+10	 1.0778e-32
5.00e+10	 1.2986e-32
1.00e+11	 1.4853e-32
2.00e+11	 1.6907e-32
5.00e+11	 1.9878e-32
1.00e+12	 2.2321e-32
2.00e+12	 2.5129e-32
5.00e+12	 2.8975e-32
