Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 2.2885e-37
2.00e+02	 4.4444e-37
5.00e+02	 1.0718e-36
1.00e+03	 2.0769e-36
2.00e+03	 3.9757e-36
5.00e+03	 9.0376e-36
1.00e+04	 1.6100e-35
2.00e+04	 2.7337e-35
5.00e+04	 5.0961e-35
1.00e+05	 7.7441e-35
2.00e+05	 1.1321e-34
5.00e+05	 1.7726e-34
1.00e+06	 2.3869e-34
2.00e+06	 3.0853e-34
5.00e+06	 4.0342e-34
1.00e+07	 4.6800e-34
2.00e+07	 5.2122e-34
5.00e+07	 5.7316e-34
1.00e+08	 6.0114e-34
2.00e+08	 6.2233e-34
5.00e+08	 6.4430e-34
1.00e+09	 6.5878e-34
2.00e+09	 6.7277e-34
5.00e+09	 6.9240e-34
1.00e+10	 7.0876e-34
2.00e+10	 7.2682e-34
5.00e+10	 7.5347e-34
1.00e+11	 7.7644e-34
2.00e+11	 8.0220e-34
5.00e+11	 8.4007e-34
1.00e+12	 8.7195e-34
2.00e+12	 9.0630e-34
5.00e+12	 9.5567e-34
