Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 2.2462e-37
2.00e+02	 4.3538e-37
5.00e+02	 1.0445e-36
1.00e+03	 2.0118e-36
2.00e+03	 3.8210e-36
5.00e+03	 8.5631e-36
1.00e+04	 1.5015e-35
2.00e+04	 2.4906e-35
5.00e+04	 4.4177e-35
1.00e+05	 6.3261e-35
2.00e+05	 8.4986e-35
5.00e+05	 1.1409e-34
1.00e+06	 1.3348e-34
2.00e+06	 1.4921e-34
5.00e+06	 1.6460e-34
1.00e+07	 1.7321e-34
2.00e+07	 1.8025e-34
5.00e+07	 1.8867e-34
1.00e+08	 1.9512e-34
2.00e+08	 2.0231e-34
5.00e+08	 2.1329e-34
1.00e+09	 2.2311e-34
2.00e+09	 2.3458e-34
5.00e+09	 2.5217e-34
1.00e+10	 2.6749e-34
2.00e+10	 2.8490e-34
5.00e+10	 3.1223e-34
1.00e+11	 3.3502e-34
2.00e+11	 3.6070e-34
5.00e+11	 3.9722e-34
1.00e+12	 4.2844e-34
2.00e+12	 4.6287e-34
5.00e+12	 5.1312e-34
