Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 2.2933e-37
2.00e+02	 4.4539e-37
5.00e+02	 1.0742e-36
1.00e+03	 2.0817e-36
2.00e+03	 3.9863e-36
5.00e+03	 9.0726e-36
1.00e+04	 1.6192e-35
2.00e+04	 2.7574e-35
5.00e+04	 5.1767e-35
1.00e+05	 7.9409e-35
2.00e+05	 1.1790e-34
5.00e+05	 1.9131e-34
1.00e+06	 2.6938e-34
2.00e+06	 3.7197e-34
5.00e+06	 5.5126e-34
1.00e+07	 7.1989e-34
2.00e+07	 9.0933e-34
5.00e+07	 1.1651e-33
1.00e+08	 1.3388e-33
2.00e+08	 1.4818e-33
5.00e+08	 1.6204e-33
1.00e+09	 1.6929e-33
2.00e+09	 1.7456e-33
5.00e+09	 1.7955e-33
1.00e+10	 1.8245e-33
2.00e+10	 1.8505e-33
5.00e+10	 1.8828e-33
1.00e+11	 1.9083e-33
2.00e+11	 1.9343e-33
5.00e+11	 1.9730e-33
1.00e+12	 2.0062e-33
2.00e+12	 2.0396e-33
5.00e+12	 2.0905e-33
