Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 7.2626e-37
2.00e+02	 1.4084e-36
5.00e+02	 3.3845e-36
1.00e+03	 6.5251e-36
2.00e+03	 1.2386e-35
5.00e+03	 2.7659e-35
1.00e+04	 4.8393e-35
2.00e+04	 8.0606e-35
5.00e+04	 1.4715e-34
1.00e+05	 2.2181e-34
2.00e+05	 3.2478e-34
5.00e+05	 5.2042e-34
1.00e+06	 7.2932e-34
2.00e+06	 1.0079e-33
5.00e+06	 1.5156e-33
1.00e+07	 2.0344e-33
2.00e+07	 2.6987e-33
5.00e+07	 3.8519e-33
1.00e+08	 4.9742e-33
2.00e+08	 6.3472e-33
5.00e+08	 8.5850e-33
1.00e+09	 1.0597e-32
2.00e+09	 1.2832e-32
5.00e+09	 1.5978e-32
1.00e+10	 1.8370e-32
2.00e+10	 2.0716e-32
5.00e+10	 2.3759e-32
1.00e+11	 2.6027e-32
2.00e+11	 2.8379e-32
5.00e+11	 3.1560e-32
1.00e+12	 3.4217e-32
2.00e+12	 3.6987e-32
5.00e+12	 4.0969e-32
