Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 2.2939e-37
2.00e+02	 4.4553e-37
5.00e+02	 1.0745e-36
1.00e+03	 2.0824e-36
2.00e+03	 3.9877e-36
5.00e+03	 9.0760e-36
1.00e+04	 1.6199e-35
2.00e+04	 2.7589e-35
5.00e+04	 5.1817e-35
1.00e+05	 7.9540e-35
2.00e+05	 1.1825e-34
5.00e+05	 1.9257e-34
1.00e+06	 2.7264e-34
2.00e+06	 3.8012e-34
5.00e+06	 5.7711e-34
1.00e+07	 7.7858e-34
2.00e+07	 1.0346e-33
5.00e+07	 1.4665e-33
1.00e+08	 1.8620e-33
2.00e+08	 2.2990e-33
5.00e+08	 2.8832e-33
1.00e+09	 3.2788e-33
2.00e+09	 3.6039e-33
5.00e+09	 3.9178e-33
1.00e+10	 4.0807e-33
2.00e+10	 4.1962e-33
5.00e+10	 4.2991e-33
1.00e+11	 4.3548e-33
2.00e+11	 4.4002e-33
5.00e+11	 4.4523e-33
1.00e+12	 4.4891e-33
2.00e+12	 4.5271e-33
5.00e+12	 4.5806e-33
