Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 7.2643e-37
2.00e+02	 1.4088e-36
5.00e+02	 3.3854e-36
1.00e+03	 6.5268e-36
2.00e+03	 1.2389e-35
5.00e+03	 2.7668e-35
1.00e+04	 4.8411e-35
2.00e+04	 8.0640e-35
5.00e+04	 1.4725e-34
1.00e+05	 2.2198e-34
2.00e+05	 3.2512e-34
5.00e+05	 5.2128e-34
1.00e+06	 7.3101e-34
2.00e+06	 1.0109e-33
5.00e+06	 1.5215e-33
1.00e+07	 2.0426e-33
2.00e+07	 2.7055e-33
5.00e+07	 3.8338e-33
1.00e+08	 4.8859e-33
2.00e+08	 6.0906e-33
5.00e+08	 7.8409e-33
1.00e+09	 9.2273e-33
2.00e+09	 1.0636e-32
5.00e+09	 1.2557e-32
1.00e+10	 1.4053e-32
2.00e+10	 1.5649e-32
5.00e+10	 1.7953e-32
1.00e+11	 1.9831e-32
2.00e+11	 2.1937e-32
5.00e+11	 2.4966e-32
1.00e+12	 2.7465e-32
2.00e+12	 3.0191e-32
5.00e+12	 3.4131e-32
