Energy [GeV]	 Cross Section [cm2]
LHAPDF 6.1.3 loading all 29 PDFs in set HERAPDF15NNLO_EIG
HERAPDF15NNLO_EIG, version 1; 29 PDF members
1.00e+02	 7.2753e-37
2.00e+02	 1.4110e-36
5.00e+02	 3.3909e-36
1.00e+03	 6.5377e-36
2.00e+03	 1.2411e-35
5.00e+03	 2.7722e-35
1.00e+04	 4.8519e-35
2.00e+04	 8.0855e-35
5.00e+04	 1.4774e-34
1.00e+05	 2.2287e-34
2.00e+05	 3.2664e-34
5.00e+05	 5.2380e-34
1.00e+06	 7.3365e-34
2.00e+06	 1.0109e-33
5.00e+06	 1.5026e-33
1.00e+07	 1.9796e-33
2.00e+07	 2.5439e-33
5.00e+07	 3.4028e-33
1.00e+08	 4.1203e-33
2.00e+08	 4.8911e-33
5.00e+08	 6.0060e-33
1.00e+09	 6.9420e-33
2.00e+09	 7.9839e-33
5.00e+09	 9.5094e-33
1.00e+10	 1.0828e-32
2.00e+10	 1.2320e-32
5.00e+10	 1.4509e-32
1.00e+11	 1.6362e-32
2.00e+11	 1.8408e-32
5.00e+11	 2.1405e-32
1.00e+12	 2.3897e-32
2.00e+12	 2.6637e-32
5.00e+12	 3.0568e-32
